Channel Title,Channel Username,ID,Message,Date,Media Path,Sender ID,Views,Forwards,Reply To Message ID,Reactions,Reply Count
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4535,"የጀርባ ማከኪያ
 ለሰዉነት ተስማሚ ከሆነ ማቴሪያል የተሰራ
 የማይቧጥጥ
 የማይዝግ፣የማይሰበር
  ለአጠቃቀም ቀላል 

       በ
    200 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-21 11:08:29+00:00,photos\@modernshoppingcenter_4535.jpg,-1001649695480,13588,46,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526A7050>, <telethon.tl.types.ReactionCount object at 0x0000021F526A70D0>, <telethon.tl.types.ReactionCount object at 0x0000021F526A7190>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4533,"ESPRESSO COFFEE MAKER
 ከአልሙኒየም የተሰራ
 12 ስኒ መያዝ የሚችል 
 በስቶቭ፣ ጋዝ እና ከሰል ላይ የሚጣድ
 ለቤት እና ለቢሮ ተመራጭ
 ለአጠቃቀም ቀላል 

              በ
        1500 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን።",2024-09-21 06:14:37+00:00,photos\@modernshoppingcenter_4533.jpg,-1001649695480,14022,19,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526A7B10>, <telethon.tl.types.ReactionCount object at 0x0000021F526A7B90>, <telethon.tl.types.ReactionCount object at 0x0000021F526A7C10>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4531,"የጫማ ማስቀመጫ 
 ፍሬሞቹ የብረት ቱቦዎች 
 መደርደሪያው ብረት የሆነ 
 መገጣጠሚያው ካርቦኔትድ የሆነ ጠንካራ ፕላሰሰቲክ 
 ባለ 9 ደረጃ 
 በሩ በዚፕ የሚዘጋ 
 የካልስ ማስቀመጫ ኪስ ያለው 
 60cm×30cm×160M
 ለአጠቃቀም ቀላል 

              በ
         3700 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-20 13:20:40+00:00,photos\@modernshoppingcenter_4531.jpg,-1001649695480,15120,13,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B45D0>, <telethon.tl.types.ReactionCount object at 0x0000021F526B4650>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4527,"የህፃናት መፀዳጃ ፖፖ 
 ከወፍራም ማይካ የተሰራ 
 ከተጠቀሙ በኋላ የውሀ ፍሳሽ የሚመስል ድምፅ ስለሚያሰማ ለልጆች አዝናኝ የሆነ 
 መቀመጫው እስፖንጅ ስለሆነ ሲቀመጡ አይቀዘቅዝም፣ ምቾት ያለው 
 መፀዳዳትን የሚያስለምድ 
 ለአጠቃቀም ቀላል 

          በ
   3000 ብር 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-20 07:39:43+00:00,,-1001649695480,14475,49,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B5910>, <telethon.tl.types.ReactionCount object at 0x0000021F526B5990>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4524,"sokani 7in1 sandwich maker
 በተለይ ለህፃናት ቁርስ ለማዘጋጀት ተመራጭ
 ሰባት የተለያዩ ነገሮችን መስራት የሚችል ተቀያያሪ ፕሌት ያለው 
 በሁለቱም በኩል የሚግል
 ሙቀቱን በራሱ የሚቆጣጠር 
 750watt የሆነ 
 ለአጠቃቀም ቀላል 

          በ
    6800 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-19 18:11:45+00:00,photos\@modernshoppingcenter_4524.jpg,-1001649695480,13887,23,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B6910>, <telethon.tl.types.ReactionCount object at 0x0000021F526B6990>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4521,"Shake 'n Take Fruit Juice Blender
 ቀጥታ በሶኬት ገመድ ተሰክቶ የሚሰራ
 የፍራፍሬ እና ሼክ ጁሶችን ለማዘጋጀት ተመራጥ 
 ለቤትና ለቢሮ አገልግሎት የሚሆን
 ለልጆችዎ ፈጣን ጁስ ለማዘጋጀት
 500ml የሚይዙ 2 ጆጎች
ያሉት
 በተጨማሪም ክዳን ስላለው በቀላሉ ይዘውት መንቀሳቀስ የሚያስችል 
 ለአጠቃቀም ቀላል 

              በ
         1800 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-19 15:21:40+00:00,photos\@modernshoppingcenter_4521.jpg,-1001649695480,13532,28,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B7890>, <telethon.tl.types.ReactionCount object at 0x0000021F526B7910>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4517,"ሽንኩርት ሲልጡ ጥፍርዏና ጣትዏ እየቆሸሸ ተቸግረዋል??? ይሄዉ መፍትሄዉ

 የተለያዩ አትክልቶችን ለመላጥ
 በርበሬ ለመቀንጠስ፣ዝንጅብል ለመላጥ ፣ወዘተ ተመራጭ
 አንዱ እሽግ ለ5 ቱም ጣት ማስገቢያ ያለዉ
 ለአጠቃቀም በጣም ቀላል

            በ
     300ብር


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-19 07:57:22+00:00,photos\@modernshoppingcenter_4517.jpg,-1001649695480,14388,27,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B8B50>, <telethon.tl.types.ReactionCount object at 0x0000021F526B8BD0>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4515,"እጅግ በጣም ኳሊቲ በራድ 
 እሳት ላይ መጣድ የሚችል
 3 ሊትር የመያዝ አቅም ያለው
 እስቴለስ እስቲል ስለሆነ የማይዝግ 
 እጀታው የማይግል 
 የራሱ ማሥተንፈሻ ቀዳዳ 
ያለው
 በፕረስ (በመጫን) የሚከፈት
 ለአጠቃቀም ቀላል 

              በ
         2600 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-18 18:13:38+00:00,photos\@modernshoppingcenter_4515.jpg,-1001649695480,15126,13,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526B9810>, <telethon.tl.types.ReactionCount object at 0x0000021F526B9890>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4513,"የፍሪጅ ማስቀመጫ ና ማንቀሻቀሻ 
 እስከ 200 ኪሎ ድረስ መሸከም የሚችል
 ከ40×40cm እስከ 69×69cm  ድረስ የሚለጠጥ 
 የራሱ ጠንካራ ጎማዎች ስላሉት ለማንቀሳቀስ ቀላል 
 በተጨማሪም አውቶማቲክ  የልብስ ማጠቢያ ላውንደሪዎች እና ኦቭን ምድጃዎችን ለማስቀመጥ የሚያስችል 
 ለአጠቃቀም ቀላል 

          በ
    1800


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-18 08:42:07+00:00,photos\@modernshoppingcenter_4513.jpg,-1001649695480,15664,20,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526BA490>, <telethon.tl.types.ReactionCount object at 0x0000021F526BA510>]",0
ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4508,"እጅግ በጣም ኳሊቲ የቱርክ ምርቶች
 በተለያየ መጠንና ኳሊቲ የቀረቡ
 ከካልሲ እስከ ትልልቅ ልብሶች የሚያሰጡ 
 ቦታ ቆጣቢና በቀላሉ የሚተጣጠፉ
 በተለይ ለፀጉር ቤት ፣ለአፓርታማ፣ለኮንዶሚኒየም ተመራጭ የሆነ 
 በማራኪ እና ዉብ ዲዛይን የቀረቡ
 የፈለጉትን መርጠዉ ይዘዙን
 እያንዳንዱ ምስል ላይ የአንዱ ዋጋ ተቀምጧል። 


 

 
                      

 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          
                   ሞደርናይዝ ያድርጉ",2024-09-17 19:04:02+00:00,photos\@modernshoppingcenter_4508.jpg,-1001649695480,14052,25,,"[<telethon.tl.types.ReactionCount object at 0x0000021F526BBB10>, <telethon.tl.types.ReactionCount object at 0x0000021F526BBB90>]",0
